"","npo","website","year_founded","source","partner_status","eligibility","recent_activity","address","latitude","longitude","municipality","department","address2","latitude2","longitude2","municipality2","department2","address3","latitude3","longitude3","municipality3","department3","address4","latitude4","longitude4","municipality4","department4","address5","latitude5","longitude5","municipality5","department5","size","budget","health","edu","comm_dev","youth_child","women_girls","enviro_cons","security","human_rights","animal_welfare","faith_based","religious_aff","us_tax_status","guate_reg","guate_govt_funding","seal_excellence","total_eval_score","efficiency","transparency","relevance","impact","sustainability"
"2095","Canal Cultural Colectivo de Artistas (CANAL CULTURAL)","https://www.arteinformado.com/guia/f/colectivo-canal-cultural-197180",2015,"GuateGovtList","E","Y","Y",NA,14.724749,-91.259286,"San Marcos La Laguna","SololÃ¡",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","Y","Y","Y","N","N","N","N","N","N","Secular",NA,"Asso",NA,NA,NA,NA,NA,NA,NA,NA
"2096","Faith Adventures in Touching Humanity / Aventura de fe Tocando la Humanidad (FAITH)","https://www.faith-adventures.org/",2015,"GuateGovtList","E","Y","Y",NA,14.766621,-91.178338,NA,"SololÃ¡",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","Y","N","N","N","N","N","N","N","Y","Christianity","Y","Asso",NA,NA,NA,NA,NA,NA,NA,NA
"2097","Desarrollo Integral Xe Kuku Aabaj","https://asocxekukuabaj2014.jimdofree.com/",2014,"GuateGovtList","E","Y","Y",NA,14.69505,-91.287203,"San Juan La Laguna","SololÃ¡",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","N","Y","N","N","N","N","N","N","N","Secular",NA,"Asso",NA,NA,NA,NA,NA,NA,NA,NA
"2098","EducaciÃ³n Internacional (ACEI)","https://www.globalgiving.org/donate/71286/asociacion-civil-educacion-internacional/",2015,"GuateGovtList","E","Y","Y","2nd Ave Calle Principal Norte 4-33, Zone 1 Panajachel, 07-011 Guatemala",14.749651,-91.149139,"Panajachel","SololÃ¡",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Asso",NA,NA,NA,NA,NA,NA,NA,NA
"2099","Desarrollo Integral Guatemalteca (ACDIGUA)","NA",2014,"GuateGovtList","NE","NPI",NA,NA,14.766621,-91.178338,NA,"SololÃ¡",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Asso",NA,NA,NA,NA,NA,NA,NA,NA
"2100","Artesanos de Adisa","http://www.artesanosdeadisa.org/",2014,"GuateGovtList","NE","NPI",NA,NA,14.766621,-91.178338,NA,"SololÃ¡",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Asso",NA,NA,NA,NA,NA,NA,NA,NA
"2101","Cable Operadores del Altiplano (ACOA)","NA",2014,"GuateGovtList","NE","NPI",NA,NA,14.766621,-91.178338,NA,"SololÃ¡",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Asso",NA,NA,NA,NA,NA,NA,NA,NA
"2102","Desarrollo ""Mercantil Occidental"" (ADEM)","NA",2014,"GuateGovtList","NE","NPI",NA,NA,14.766621,-91.178338,NA,"SololÃ¡",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Asso",NA,NA,NA,NA,NA,NA,NA,NA
"2103","Desarrollo Colectivo Integral Peniel (ADECI-PENIEL)","NA",2015,"GuateGovtList","NE","NPI",NA,NA,14.766621,-91.178338,NA,"SololÃ¡",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Asso",NA,NA,NA,NA,NA,NA,NA,NA
"2104","Desarrollo Comunitario Nawal Ja' MÃ¡gico (ASOMÃGICO)","NA",2014,"GuateGovtList","NE","NPI",NA,NA,14.766621,-91.178338,NA,"SololÃ¡",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Asso",NA,NA,NA,NA,NA,NA,NA,NA
"2105","Desarrollo el ChapÃ­n (ASDEC)","NA",2015,"GuateGovtList","NE","NPI",NA,NA,14.766621,-91.178338,NA,"SololÃ¡",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Asso",NA,NA,NA,NA,NA,NA,NA,NA
"2106","Desarrollo Integral de Productores Chirijcalbal del Municipio de NahualÃ¡, Departamento de SololÃ¡ (ADINCH)","NA",2014,"GuateGovtList","NE","NPI",NA,NA,14.766621,-91.178338,NA,"SololÃ¡",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Asso",NA,NA,NA,NA,NA,NA,NA,NA
"2107","Desarrollo Integral Guinealence (ASDINGA)","NA",2015,"GuateGovtList","NE","NPI",NA,NA,14.766621,-91.178338,NA,"SololÃ¡",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Asso",NA,NA,NA,NA,NA,NA,NA,NA
"2108","Desarrollo Integral Indigena Sololateco (ADIIS)","NA",2014,"GuateGovtList","NE","NPI",NA,NA,14.766621,-91.178338,NA,"SololÃ¡",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Asso",NA,NA,NA,NA,NA,NA,NA,NA
"2109","Desarrollo Integral KÂ´akÂ´ bÂ´e (ADIKBÂ´E)","https://www.facebook.com/adikbe.mt/",2013,"GuateGovtList","E","Y","Y","Aldea MarÃ­a TecÃ¹n Alayo, Solola",14.814052,-91.212723,"MarÃ­a TecÃ¹n Alayo","SololÃ¡",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","N","Y","Y","N","N","N","N","N","N","Secular",NA,"Asso",NA,NA,NA,NA,NA,NA,NA,NA
"2110","Desarrollo Integral para la PequeÃ±a y Mediana Empresa Rural de Guatemala (ADIMGUA)","NA",2014,"GuateGovtList","NE","NPI",NA,NA,14.766621,-91.178338,NA,"SololÃ¡",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Asso",NA,NA,NA,NA,NA,NA,NA,NA
"2111","Desarrollo Integral Xeabaj Ixtahuacan (ADIXI)","NA",2014,"GuateGovtList","NE","NPI",NA,NA,14.766621,-91.178338,NA,"SololÃ¡",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Asso",NA,NA,NA,NA,NA,NA,NA,NA
"2112","Desarrollo y Capacitacion de Artesanos y Tejedores (ADYCAT)","NA",2015,"GuateGovtList","NE","NPI",NA,NA,14.766621,-91.178338,NA,"SololÃ¡",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Asso",NA,NA,NA,NA,NA,NA,NA,NA
"2113","Hoteles, Hospedajes, Posadas, Restaurantes y Comedores de San Marcos la Laguna Chinimay'a (CHINIMAYÂ´A)","NA",2013,"GuateGovtList","NE","NPI",NA,NA,14.766621,-91.178338,NA,"SololÃ¡",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Asso",NA,NA,NA,NA,NA,NA,NA,NA
"2114","Miniriego Chuaxic (ASOMIC)","NA",2014,"GuateGovtList","NE","NPI",NA,NA,14.766621,-91.178338,NA,"SololÃ¡",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Asso",NA,NA,NA,NA,NA,NA,NA,NA
"2115","Mujeres ArgueteÃ±as Productoras Emprendedoras de Desarrollo Integral","NA",2014,"GuateGovtList","NE","NPI",NA,NA,14.766621,-91.178338,NA,"SololÃ¡",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Asso",NA,NA,NA,NA,NA,NA,NA,NA
"2116","Mujeres de la Ruta del Sabor AtitlÃ¡n (ASOMURSA)","https://www.facebook.com/Red-Ruta-Del-Sabor-De-Atitlan-1462031974050063/",2014,"GuateGovtList","NE","NRA","N",NA,14.766621,-91.178338,NA,"SololÃ¡",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","N","Y","N","Y","N","N","N","N","N","Secular",NA,"Asso",NA,NA,NA,NA,NA,NA,NA,NA
"2117","Mujeres Innovadoras en Alimentos de Soya y Textiles (MI SOYA)","NA",2014,"GuateGovtList","NE","NPI",NA,NA,14.766621,-91.178338,NA,"SololÃ¡",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Asso",NA,NA,NA,NA,NA,NA,NA,NA
"2118","Mujeres Profesionales de SacatepÃ©quez","NA",2013,"GuateGovtList","NE","NPI",NA,NA,14.766621,-91.178338,NA,"SololÃ¡",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Asso",NA,NA,NA,NA,NA,NA,NA,NA
"2119","Oportunidades Rurales (ACOPRE)","NA",2015,"GuateGovtList","NE","NPI",NA,NA,14.766621,-91.178338,NA,"SololÃ¡",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Asso",NA,NA,NA,NA,NA,NA,NA,NA
"2120","Productores de CafÃ© Maya, ChacayÃ¡, AtitlÃ¡n (APROCAMCA)","NA",2015,"GuateGovtList","NE","NPI",NA,NA,14.766621,-91.178338,NA,"SololÃ¡",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Asso",NA,NA,NA,NA,NA,NA,NA,NA
"2121","Rehabilitacion de Enfermo AlcohÃ³lico y DrogadicciÃ³n (TAT LOY)","https://tatloy.weebly.com/about.html",2014,"GuateGovtList","E","?",NA,NA,14.766621,-91.178338,NA,"SololÃ¡",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y","N","Y","N","N","N","N","N","N","Y","Catholic","Yes","Asso",NA,NA,NA,NA,NA,NA,NA,NA
"2122","Guatemalteca de Desarrollo Empresarial (CRECE)","NA",2014,"GuateGovtList","NE","NPI",NA,NA,14.766621,-91.178338,NA,"SololÃ¡",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Asso",NA,NA,NA,NA,NA,NA,NA,NA
"2123","Innovadora para el Desarrollo Integral (ASODI)","https://www.facebook.com/asodinahuala/?hc_ref=ART6tP47cty_Pmq272hBK6Up7dNQbNyFqGbiSJnHtVKy3_oqhmXTlAwdbAVi2kgUjsc&fref=nf&__tn__=kC-R",2015,"GuateGovtList","NE","NRA",NA,NA,14.766621,-91.178338,NA,"SololÃ¡",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Asso",NA,NA,NA,NA,NA,NA,NA,NA
"2124","Innovadora y Emprendimiento TolimÃ¡n","NA",2014,"GuateGovtList","NE","NPI",NA,NA,14.766621,-91.178338,NA,"SololÃ¡",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Asso",NA,NA,NA,NA,NA,NA,NA,NA
"2125","Integral de Desarrollo Flor del CafÃ© (ASIDCA)","NA",2015,"GuateGovtList","NE","NPI",NA,NA,14.766621,-91.178338,NA,"SololÃ¡",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Asso",NA,NA,NA,NA,NA,NA,NA,NA
"2126","Integral de Mujeres Artesanas Chaquijya (AIMACH)","NA",2014,"GuateGovtList","NE","NPI",NA,NA,14.766621,-91.178338,NA,"SololÃ¡",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Asso",NA,NA,NA,NA,NA,NA,NA,NA
"2127","Integral la Bendicion","NA",2014,"GuateGovtList","NE","NPI",NA,NA,14.766621,-91.178338,NA,"SololÃ¡",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Asso",NA,NA,NA,NA,NA,NA,NA,NA
"2128","Integral las Mercedes","NA",2014,"GuateGovtList","NE","NPI",NA,NA,14.766621,-91.178338,NA,"SololÃ¡",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Asso",NA,NA,NA,NA,NA,NA,NA,NA
"2129","Integral para el Desarrollo ""El Altiplano de Guatemala"" (EAG)","NA",2014,"GuateGovtList","NE","NPI",NA,NA,14.766621,-91.178338,NA,"SololÃ¡",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Asso",NA,NA,NA,NA,NA,NA,NA,NA
"2130","Intercultural y LingÃ¼Ã­stica la Iguana Perdida (AILGUAP)","NA",2014,"GuateGovtList","NE","NPI",NA,NA,14.766621,-91.178338,NA,"SololÃ¡",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Asso",NA,NA,NA,NA,NA,NA,NA,NA
"2131","Para el Desarrollo del Altiplano (ADEAL)","NA",2015,"GuateGovtList","NE","NPI",NA,NA,14.766621,-91.178338,NA,"SololÃ¡",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Asso",NA,NA,NA,NA,NA,NA,NA,NA
"2132","Para el Desarrollo Economico de Guatemala (ADESA)","NA",2015,"GuateGovtList","NE","NPI",NA,NA,14.766621,-91.178338,NA,"SololÃ¡",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Asso",NA,NA,NA,NA,NA,NA,NA,NA
"2133","Para el Desarrollo Integral de los Guatemaltecos Uk'u'x Rax (UKÂ´UÂ´X RAX)","NA",2014,"GuateGovtList","NE","NPI",NA,NA,14.766621,-91.178338,NA,"SololÃ¡",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Asso",NA,NA,NA,NA,NA,NA,NA,NA
"2134","Red de Comunicadoras Sociales Comunitarias Mayas (RED COMAY)","NA",2014,"GuateGovtList","NE","NPI",NA,NA,14.766621,-91.178338,NA,"SololÃ¡",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Asso",NA,NA,NA,NA,NA,NA,NA,NA
"2135","Salvador de Amor (SALVADOR)","https://www.facebook.com/Salvador-de-amor-Guatemala-236204197177563/",2015,"GuateGovtList","E","Y","Y",NA,14.766621,-91.178338,NA,"SololÃ¡",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y","N","N","N","N","N","N","N","N","Y","Catholic",NA,"Asso",NA,NA,NA,NA,NA,NA,NA,NA
"2136","Social San Francisco (SAN FRANCISCO)","NA",2015,"GuateGovtList","NE","NPI",NA,NA,14.766621,-91.178338,NA,"SololÃ¡",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Asso",NA,NA,NA,NA,NA,NA,NA,NA
"2137","Sololateca de Mujeres para el Desarrollo Integral (ASOMUJERDI)","https://www.facebook.com/asomujerdi/",2015,"GuateGovtList","E","Y","Y",NA,14.833216,-91.326084,"NahualÃ¡","SololÃ¡",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","N","N","N","Y","N","N","Y","N","N","Secular",NA,"Asso",NA,NA,NA,NA,NA,NA,NA,NA
"2138","Sololateca para el Desarrollo Integral de la Mujer (ASODEIM)","NA",2014,"GuateGovtList","NE","NPI",NA,NA,14.766621,-91.178338,NA,"SololÃ¡",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Asso",NA,NA,NA,NA,NA,NA,NA,NA
"2139","ComitÃ© de AutogestiÃ³n Turistica de San Juan la Laguna del Departamento de SololÃ¡ (CATCHIYA)","NA",2015,"GuateGovtList","NE","NPI",NA,NA,14.766621,-91.178338,NA,"SololÃ¡",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Asso",NA,NA,NA,NA,NA,NA,NA,NA
"2140","Unidad de Emergencia y Rescate de la Cabecera Municipal de Santa Catarina PalopÃ³, SololÃ¡ (UDER)","NA",2013,"GuateGovtList","NE","NPI",NA,NA,14.766621,-91.178338,NA,"SololÃ¡",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Asso",NA,NA,NA,NA,NA,NA,NA,NA
"2141","Campesinos de San Juan Moca No. 55","NA",2002,"GuateGovtList","NE","NPI",NA,NA,14.542857,-91.326599,"Chicacao","SuchitepÃ©quez",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Asso",NA,NA,NA,NA,NA,NA,NA,NA
"2142","Fenix","NA",2002,"GuateGovtList","NE","NPI",NA,NA,14.542857,-91.326599,"Chicacao","SuchitepÃ©quez",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Asso",NA,NA,NA,NA,NA,NA,NA,NA
"2143","Integral de Desarrollo y Auditoria Social de Chicacao","NA",2004,"GuateGovtList","NE","NPI",NA,NA,14.542857,-91.326599,"Chicacao","SuchitepÃ©quez",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Asso",NA,NA,NA,NA,NA,NA,NA,NA
"2144","Cultural Kuku'tzaam Asokuku'tzaam","NA",2002,"GuateGovtList","NE","NPI",NA,NA,14.542857,-91.326599,"Chicacao","SuchitepÃ©quez",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Asso",NA,NA,NA,NA,NA,NA,NA,NA
"2145","Desarrollo Agricola Chicacao","NA",2002,"GuateGovtList","NE","NPI",NA,NA,14.542857,-91.326599,"Chicacao","SuchitepÃ©quez",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Asso",NA,NA,NA,NA,NA,NA,NA,NA
"2146","Obreros de Chicacao","NA",2005,"GuateGovtList","NE","NPI",NA,NA,14.542857,-91.326599,"Chicacao","SuchitepÃ©quez",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Asso",NA,NA,NA,NA,NA,NA,NA,NA
"2147","Padres de Familia Proyecto San Bartolo","NA",2004,"GuateGovtList","NE","NPI",NA,NA,14.542857,-91.326599,"Chicacao","SuchitepÃ©quez",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Asso",NA,NA,NA,NA,NA,NA,NA,NA
"2148","Hogar Nuestra SeÃ±ora De La Merced","NA",2009,"GuateGovtList","NE","NPI",NA,"6 Avenida Norte Y 1 Calle Poniente 2-B Z.0, Antigua Guatemala",14.5584774,-90.737522,"Antigua","SacatepÃ©quez",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Asso",NA,NA,NA,NA,NA,NA,NA,NA
"2149","La SuperaciÃ³n Integral De Menores Con Lesion Cerebral (FUNCILEC)","NA",2001,"GuateGovtList","NE","NPI",NA,"4 Calle 33-13 A Z.11 Guatemala, Guatemala",14.6513108,-90.5134943,"Guatemala","Guatemala",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Asso",NA,NA,NA,NA,NA,NA,NA,NA
"2150","Futuro Para NiÃ±os Guatemala-Alemania (FUNIGA)","NA",1999,"GuateGovtList","NE","NPI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Asso",NA,NA,NA,NA,NA,NA,NA,NA
"2151","Instituto Diversificado Por Cooperativa De EnseÃ±anza","https://es-la.facebook.com/idco.oratorio2005/",2002,"GuateGovtList","E","Y","Y","Instituto Diversificado por Cooperativa de EnseÃ±anza Aldea San Luis, San Felipe, Guatemala",14.5999219,-91.642272,"San Felipe","Retalhuleu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","Y","Y","N","N","N","N","N","N","N","Secular",NA,"Asso",NA,NA,NA,NA,NA,NA,NA,NA
"2152","Junta Principal Pro-Celebraciones Religiosas De San Miguel Arcangel","NA",2004,"GuateGovtList","NE","NPI",NA,"Calle Real 0-10 Z.2 San Miguel DueÃ±as, SacatepÃ©quez",14.5203385,-90.8008276,"San Miguel DueÃ±as","SacatepÃ©quez",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y","Christianity",NA,"Asso",NA,NA,NA,NA,NA,NA,NA,NA
"2153","La Libertad (Alas)","https://www.lalibertad.org",2005,"GuateGovtList","E","Y","Y","4th. 6-77 Avenue, Zone 3. Municipality of CanillÃ¡, QuichÃ©",15.1682052,-90.8529887,"CanillÃ¡","QuichÃ©",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y","Y","Y","Y","N","N","N","N","N","Y","Christianity",NA,"Asso",NA,NA,NA,NA,NA,NA,NA,NA
"2154","La MisiÃ³n ApostÃ³lica Y ProfÃ©tica Maranatha","NA",2002,"GuateGovtList","NE","NPI",NA,"Mz J Sector 4 L 13 A Z 7 San Miguel Petapa, Guatemala",14.5000052,-90.5688554,"San Miguel Petapa","Guatemala",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Asso",NA,NA,NA,NA,NA,NA,NA,NA
